name,description,life_max,life_min,male_weight_max,male_weight_min,female_weight_max,female_weight_min,hypoallergenic
Affenpinscher,"The Affenpinscher is a small and playful breed of dog that was originally bred in Germany for hunting small game. They are intelligent, energetic, and affectionate, and make excellent companion dogs.",16,14,5,3,5,3,True
Afghan Hound,"The Afghan Hound is a large and elegant breed of dog that was originally bred in Afghanistan for hunting small game. They are intelligent, independent, and athletic, and make excellent companion dogs.",14,12,27,23,25,20,False
Airedale Terrier,"The Airedale Terrier is a large and powerful breed of dog that was originally bred in England for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",14,12,23,20,20,18,False
Akita,"The Akita is a large, muscular dog breed that originated in Japan. They are known for their loyalty and courage.",12,10,60,35,50,35,False
Alaskan Klee Kai,The Alaskan Klee Kai is a small to medium-sized breed of dog that was developed in Alaska in the 1970s. It is an active and intelligent breed that is loyal and friendly. The Alaskan Klee Kai stands between 13-17 inches at the shoulder and has a double-coat that can come in various colors and patterns.,15,12,7,6,7,6,False
Alaskan Malamute,"The Alaskan Malamute is a large and powerful sled dog from Alaska. They are strong and hardworking, yet friendly and loyal. Alaskan Malamutes have a thick, double coat that can be any color. They are active and require plenty of exercise and mental stimulation to stay healthy and happy.",15,12,39,34,34,25,False
American Bulldog,"The American Bulldog is a large and powerful breed of dog that was originally bred in the United States for working on farms. They are intelligent, loyal, and protective, and make excellent guard dogs.",14,12,50,25,45,25,False
American English Coonhound,"The American English Coonhound is a large and athletic breed of dog that was originally bred in the United States for hunting raccoons. They are intelligent, energetic, and determined, and make excellent hunting dogs.",14,12,30,20,30,20,False
American Eskimo Dog,"The American Eskimo Dog is a small to medium-sized breed with a thick, fluffy coat that comes in white, cream, or biscuit colors. It is known for its intelligence and its ability to learn a wide variety of tricks.",15,12,20,9,20,9,False
American Foxhound,"The American Foxhound is a large and athletic breed of dog that was originally bred in the United States for hunting foxes. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,34,20,34,20,False
American Hairless Terrier,"The American Hairless Terrier is a small to medium-sized breed of terrier that originated in the United States. It is the hairless variety of the Rat Terrier, and was developed by breeding selectively for the gene that causes the hairlessness. The Hairless variety is considered to have a more mellow and laid-back temperament than its coated counterpart, and is an active and intelligent breed that loves to please and stay busy. The breed stands between 12-16 inches at the shoulder and comes in a variety of colors.",14,12,7,6,7,6,False
American Leopard Hound,"The American Leopard Hound is a large, athletic dog breed that was originally bred for hunting. They are known for their spotted coats and keen sense of smell.",15,12,40,30,35,25,False
